0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000
103,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
104,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
105,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
106,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
107,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
108,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
109,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
110,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
111,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
112,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
113,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
114,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
115,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
116,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
117,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
118,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
119,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
120,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,6}]=>(?n) RETURN ?p LIMIT 100000
121,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
122,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
123,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
124,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
125,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
126,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
127,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
128,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
129,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
130,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
131,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
132,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
133,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
134,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
135,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
136,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
137,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
138,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
139,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
140,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
141,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
142,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
143,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
144,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
145,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
146,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
147,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
148,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
149,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
150,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
151,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
152,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
153,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
154,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
155,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
156,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
157,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
158,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
159,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
160,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,8}]=>(?n) RETURN ?p LIMIT 100000
161,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
162,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
163,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
164,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
165,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
166,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
167,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
168,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
169,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
170,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
171,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
172,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
173,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
174,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
175,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
176,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
177,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
178,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
179,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
180,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
181,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
182,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
183,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
184,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
185,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
186,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
187,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
188,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
189,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
190,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
191,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
192,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
193,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
194,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
195,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
196,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
197,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
198,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
199,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
200,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,10}]=>(?n) RETURN ?p LIMIT 100000
201,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
202,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
203,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
204,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
205,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
206,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
207,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
208,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
209,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
210,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
211,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
212,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
213,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
214,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
215,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
216,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
217,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
